open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,symbol,symbol_simple,contract_type
2022-12-31 16:00:00,16586.1,16609.3,16577.3,16596.0,3952.136,2022-12-31 16:59:59.999,65577590.8196,23252,1972.26,32726723.9811,BTCUSDT,btc,PERPETUAL
2022-12-31 17:00:00,16596.1,16600.1,16565.9,16573.4,5386.118,2022-12-31 17:59:59.999,89297336.0429,27206,2187.888,36273006.8308,BTCUSDT,btc,PERPETUAL
2022-12-31 18:00:00,16573.4,16582.8,16566.2,16571.7,2279.31,2022-12-31 18:59:59.999,37776621.5366,16527,1259.375,20872297.6808,BTCUSDT,btc,PERPETUAL
2022-12-31 19:00:00,16571.8,16585.0,16562.0,16564.3,3780.956,2022-12-31 19:59:59.999,62659067.9724,21153,1877.922,31122961.3631,BTCUSDT,btc,PERPETUAL
2022-12-31 20:00:00,16564.3,16569.7,16562.0,16563.5,2395.389,2022-12-31 20:59:59.999,39680492.8145,15152,1242.505,20582803.6498,BTCUSDT,btc,PERPETUAL
2022-12-31 21:00:00,16563.5,16566.4,16538.6,16544.0,4092.844,2022-12-31 21:59:59.999,67750595.7915,22112,1571.773,26020453.837,BTCUSDT,btc,PERPETUAL
2022-12-31 22:00:00,16544.0,16565.1,16461.8,16515.1,16666.567,2022-12-31 22:59:59.999,275284297.3031,77358,7078.976,116949993.1885,BTCUSDT,btc,PERPETUAL
2022-12-31 23:00:00,16515.1,16546.9,16483.1,16537.6,8343.086,2022-12-31 23:59:59.999,137805090.1325,44489,4534.072,74892551.4065,BTCUSDT,btc,PERPETUAL
2023-01-01 00:00:00,16537.5,16540.9,16504.0,16527.0,5381.399,2023-01-01 00:59:59.999,88923087.8321,31529,2541.791,42000649.2724,BTCUSDT,btc,PERPETUAL
2023-01-01 01:00:00,16527.1,16554.3,16524.1,16550.4,3210.826,2023-01-01 01:59:59.999,53098548.7544,19787,1933.859,31982248.929,BTCUSDT,btc,PERPETUAL
2023-01-01 02:00:00,16550.5,16557.1,16534.8,16542.4,2399.668,2023-01-01 02:59:59.999,39704662.6773,15720,1156.721,19138960.9247,BTCUSDT,btc,PERPETUAL
2023-01-01 03:00:00,16542.5,16542.5,16515.0,16529.3,3214.48,2023-01-01 03:59:59.999,53120600.934,19341,1430.403,23637732.1621,BTCUSDT,btc,PERPETUAL
2023-01-01 04:00:00,16529.2,16530.4,16508.8,16517.8,3150.954,2023-01-01 04:59:59.999,52048231.8487,20937,1583.098,26150126.5816,BTCUSDT,btc,PERPETUAL
2023-01-01 05:00:00,16517.8,16531.1,16508.0,16525.7,3268.293,2023-01-01 05:59:59.999,53976906.1162,18908,1578.995,26079452.1389,BTCUSDT,btc,PERPETUAL
2023-01-01 06:00:00,16525.6,16545.7,16525.6,16535.3,2726.582,2023-01-01 06:59:59.999,45090264.4477,17606,1340.462,22167277.2472,BTCUSDT,btc,PERPETUAL
2023-01-01 07:00:00,16535.3,16537.5,16488.0,16519.6,8852.672,2023-01-01 07:59:59.999,146166430.7087,36399,3911.189,64580552.9887,BTCUSDT,btc,PERPETUAL
2023-01-01 08:00:00,16519.5,16524.9,16502.0,16504.2,3289.761,2023-01-01 08:59:59.999,54320341.5947,21586,1313.228,21683585.4907,BTCUSDT,btc,PERPETUAL
2023-01-01 09:00:00,16504.3,16536.1,16496.8,16532.7,3948.702,2023-01-01 09:59:59.999,65217230.1976,26147,2127.739,35143996.9467,BTCUSDT,btc,PERPETUAL
2023-01-01 10:00:00,16532.7,16542.9,16527.3,16542.8,4110.425,2023-01-01 10:59:59.999,67964331.2539,21729,2012.438,33275735.3967,BTCUSDT,btc,PERPETUAL
2023-01-01 11:00:00,16542.9,16549.8,16535.1,16549.8,3768.388,2023-01-01 11:59:59.999,62340191.561,22386,1939.09,32079075.1769,BTCUSDT,btc,PERPETUAL
2023-01-01 12:00:00,16549.8,16565.9,16542.9,16553.9,5482.001,2023-01-01 12:59:59.999,90744679.2423,28280,2548.225,42182805.8011,BTCUSDT,btc,PERPETUAL
2023-01-01 13:00:00,16553.8,16559.8,16530.5,16539.9,4505.256,2023-01-01 13:59:59.999,74527749.1455,24250,1971.139,32606322.8796,BTCUSDT,btc,PERPETUAL
2023-01-01 14:00:00,16539.9,16549.7,16533.1,16533.1,2448.444,2023-01-01 14:59:59.999,40503002.3382,18363,1175.123,19439837.334,BTCUSDT,btc,PERPETUAL
2023-01-01 15:00:00,16533.2,16553.1,16524.6,16553.1,3107.183,2023-01-01 15:59:59.999,51385027.6074,19408,1786.176,29541345.6354,BTCUSDT,btc,PERPETUAL
2023-01-01 16:00:00,16553.0,16579.0,16552.6,16556.0,7482.092,2023-01-01 16:59:59.999,123929105.3393,37350,4177.482,69195765.2063,BTCUSDT,btc,PERPETUAL
2023-01-01 17:00:00,16556.1,16589.4,16555.5,16573.1,6126.892,2023-01-01 17:59:59.999,101553540.0821,31957,3353.049,55576781.2279,BTCUSDT,btc,PERPETUAL
2023-01-01 18:00:00,16573.1,16597.0,16573.0,16584.3,4955.635,2023-01-01 18:59:59.999,82199321.9401,26757,2603.403,43182654.5382,BTCUSDT,btc,PERPETUAL
2023-01-01 19:00:00,16584.3,16615.8,16584.2,16596.1,7406.797,2023-01-01 19:59:59.999,122974267.8525,37463,4065.484,67500264.3241,BTCUSDT,btc,PERPETUAL
2023-01-01 20:00:00,16596.1,16618.8,16592.0,16593.8,4951.995,2023-01-01 20:59:59.999,82228731.1405,28762,2369.029,39339458.1438,BTCUSDT,btc,PERPETUAL
2023-01-01 21:00:00,16593.7,16599.7,16584.1,16597.6,3040.626,2023-01-01 21:59:59.999,50451079.8664,21602,1297.005,21520684.9456,BTCUSDT,btc,PERPETUAL
2023-01-01 22:00:00,16597.6,16605.4,16579.1,16594.4,3633.682,2023-01-01 22:59:59.999,60289616.8169,22001,1871.039,31044201.6138,BTCUSDT,btc,PERPETUAL
2023-01-01 23:00:00,16594.4,16617.4,16594.4,16610.3,5040.212,2023-01-01 23:59:59.999,83692900.4417,26031,2531.342,42033191.9185,BTCUSDT,btc,PERPETUAL
2023-01-02 00:00:00,16610.4,16618.4,16572.9,16578.0,5774.202,2023-01-02 00:59:59.999,95811324.3103,31939,2375.994,39425381.538,BTCUSDT,btc,PERPETUAL
2023-01-02 01:00:00,16578.0,16579.3,16541.2,16556.5,9532.229,2023-01-02 01:59:59.999,157820380.9028,41242,4196.044,69471273.1951,BTCUSDT,btc,PERPETUAL
2023-01-02 02:00:00,16556.5,16587.1,16547.5,16580.4,3292.203,2023-01-02 02:59:59.999,54553046.5086,18335,1981.152,32829531.0529,BTCUSDT,btc,PERPETUAL
2023-01-02 03:00:00,16580.4,16700.7,16575.0,16654.6,18043.112,2023-01-02 03:59:59.999,300438253.7872,73808,10745.894,178924679.9725,BTCUSDT,btc,PERPETUAL
2023-01-02 04:00:00,16654.7,16665.0,16621.8,16631.8,8205.467,2023-01-02 04:59:59.999,136543632.6824,42048,3633.568,60465817.3108,BTCUSDT,btc,PERPETUAL
2023-01-02 05:00:00,16631.8,16653.8,16612.8,16640.0,6882.642,2023-01-02 05:59:59.999,114468548.0027,31804,3570.267,59380224.4154,BTCUSDT,btc,PERPETUAL
2023-01-02 06:00:00,16640.1,16654.8,16627.8,16632.4,4079.99,2023-01-02 06:59:59.999,67889389.1128,22546,1955.519,32538256.9062,BTCUSDT,btc,PERPETUAL
2023-01-02 07:00:00,16632.5,16767.8,16630.8,16712.5,34167.373,2023-01-02 07:59:59.999,571218045.36234,137037,18320.301,306284725.87484,BTCUSDT,btc,PERPETUAL
2023-01-02 08:00:00,16712.6,16764.0,16701.0,16724.5,15067.451,2023-01-02 08:59:59.999,252120809.8847,67239,7632.229,127714919.3277,BTCUSDT,btc,PERPETUAL
2023-01-02 09:00:00,16724.6,16735.9,16705.1,16710.0,7428.434,2023-01-02 09:59:59.999,124193608.1889,39345,3421.799,57208632.9825,BTCUSDT,btc,PERPETUAL
2023-01-02 10:00:00,16710.0,16759.8,16703.2,16720.2,8279.414,2023-01-02 10:59:59.999,138498926.657,40714,4351.107,72791366.6106,BTCUSDT,btc,PERPETUAL
2023-01-02 11:00:00,16720.1,16734.0,16696.0,16728.5,6775.332,2023-01-02 11:59:59.999,113250826.9707,35585,3224.768,53908574.3379,BTCUSDT,btc,PERPETUAL
2023-01-02 12:00:00,16728.4,16736.1,16713.0,16713.2,4678.572,2023-01-02 12:59:59.999,78248923.2632,30892,2250.57,37641378.7772,BTCUSDT,btc,PERPETUAL
2023-01-02 13:00:00,16713.2,16716.5,16674.3,16687.8,10046.081,2023-01-02 13:59:59.999,167731505.2027,50166,4387.067,73250163.9799,BTCUSDT,btc,PERPETUAL
2023-01-02 14:00:00,16687.7,16702.5,16665.0,16694.8,8935.589,2023-01-02 14:59:59.999,149107842.7157,40176,4877.748,81398183.4294,BTCUSDT,btc,PERPETUAL
2023-01-02 15:00:00,16694.7,16744.8,16688.4,16729.2,12200.994,2023-01-02 15:59:59.999,203976877.2131,56813,6741.422,112700663.1004,BTCUSDT,btc,PERPETUAL
