open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,symbol,symbol_simple,contract_type
2022-12-31 16:00:00,5.586,5.593,5.554,5.574,1133867.31,2022-12-31 16:59:59.999,6317695.48762,11881,497115.28,2770156.0999,LINKUSDT,link,PERPETUAL
2022-12-31 17:00:00,5.574,5.581,5.538,5.551,1091134.26,2022-12-31 17:59:59.999,6064506.18279,11363,512067.76,2846508.88456,LINKUSDT,link,PERPETUAL
2022-12-31 18:00:00,5.551,5.576,5.549,5.562,520884.29,2022-12-31 18:59:59.999,2898634.10523,7939,270111.01,1503229.87683,LINKUSDT,link,PERPETUAL
2022-12-31 19:00:00,5.563,5.597,5.558,5.585,730941.22,2022-12-31 19:59:59.999,4077848.83758,8630,396844.67,2213834.08417,LINKUSDT,link,PERPETUAL
2022-12-31 20:00:00,5.584,5.601,5.581,5.583,541121.64,2022-12-31 20:59:59.999,3024989.90233,7793,284194.65,1588860.72529,LINKUSDT,link,PERPETUAL
2022-12-31 21:00:00,5.584,5.595,5.558,5.562,525135.12,2022-12-31 21:59:59.999,2929795.77431,7934,248606.35,1387477.55928,LINKUSDT,link,PERPETUAL
2022-12-31 22:00:00,5.561,5.577,5.542,5.565,784132.97,2022-12-31 22:59:59.999,4361753.59533,10259,388608.66,2161951.70278,LINKUSDT,link,PERPETUAL
2022-12-31 23:00:00,5.565,5.579,5.535,5.573,993634.78,2022-12-31 23:59:59.999,5522725.87043,10554,509180.45,2830468.57661,LINKUSDT,link,PERPETUAL
2023-01-01 00:00:00,5.574,5.58,5.511,5.523,1382612.72,2023-01-01 00:59:59.999,7659188.26041,14935,602780.6,3339479.17212,LINKUSDT,link,PERPETUAL
2023-01-01 01:00:00,5.524,5.568,5.522,5.553,846506.2,2023-01-01 01:59:59.999,4690987.37521,10696,457893.31,2537719.67628,LINKUSDT,link,PERPETUAL
2023-01-01 02:00:00,5.553,5.565,5.543,5.544,755814.46,2023-01-01 02:59:59.999,4197370.76514,7907,344413.39,1912650.13673,LINKUSDT,link,PERPETUAL
