open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,symbol,symbol_simple,contract_type
2022-12-31 16:00:00,10.13,10.169,10.031,10.061,2411660,2022-12-31 16:59:59.999,24348356.423,37396,1166533,11779322.512,SOLUSDT,sol,PERPETUAL
2022-12-31 17:00:00,10.06,10.092,9.925,9.943,2538118,2022-12-31 17:59:59.999,25335173.887,41645,1141520,11395060.783,SOLUSDT,sol,PERPETUAL
2022-12-31 18:00:00,9.943,10.014,9.906,9.933,1504695,2022-12-31 18:59:59.999,14994878.319,26782,744517,7421533.616,SOLUSDT,sol,PERPETUAL
2022-12-31 19:00:00,9.932,10.145,9.929,10.047,2155170,2022-12-31 19:59:59.999,21674257.886,36395,1154297,11606314.768,SOLUSDT,sol,PERPETUAL
2022-12-31 20:00:00,10.047,10.088,10.01,10.069,1071539,2022-12-31 20:59:59.999,10767774.566,18188,582689,5856469.585,SOLUSDT,sol,PERPETUAL
2022-12-31 21:00:00,10.069,10.113,9.973,10.006,1194930,2022-12-31 21:59:59.999,11995714.398,22305,600057,6023987.181,SOLUSDT,sol,PERPETUAL
2022-12-31 22:00:00,10.005,10.038,9.85,9.942,2379228,2022-12-31 22:59:59.999,23675425.942,39111,1109611,11045977.38,SOLUSDT,sol,PERPETUAL
2022-12-31 23:00:00,9.942,9.988,9.883,9.968,1485011,2022-12-31 23:59:59.999,14776062.787,25859,788328,7844344.023,SOLUSDT,sol,PERPETUAL
2023-01-01 00:00:00,9.968,10.016,9.923,9.979,2192047,2023-01-01 00:59:59.999,21859206.696,33866,1132157,11290414.635,SOLUSDT,sol,PERPETUAL
2023-01-01 01:00:00,9.98,10.06,9.97,10.032,1386948,2023-01-01 01:59:59.999,13905881.854,23036,703669,7056251.823,SOLUSDT,sol,PERPETUAL
2023-01-01 02:00:00,10.031,10.074,9.981,10.006,1048577,2023-01-01 02:59:59.999,10514183.985,19298,531650,5331473.862,SOLUSDT,sol,PERPETUAL
2023-01-01 03:00:00,10.005,10.005,9.894,9.957,1629822,2023-01-01 03:59:59.999,16210752.757,27628,822714,8182824.86,SOLUSDT,sol,PERPETUAL
2023-01-01 04:00:00,9.957,9.978,9.81,9.837,1883235,2023-01-01 04:59:59.999,18602138.106,28394,763989,7545728.384,SOLUSDT,sol,PERPETUAL
2023-01-01 05:00:00,9.837,9.847,9.711,9.786,2179065,2023-01-01 05:59:59.999,21299943.783,33161,1056949,10332076.122,SOLUSDT,sol,PERPETUAL
2023-01-01 06:00:00,9.787,9.836,9.754,9.783,1164816,2023-01-01 06:59:59.999,11410885.658,18387,634816,6220031.533,SOLUSDT,sol,PERPETUAL
2023-01-01 07:00:00,9.784,9.789,9.678,9.782,1753049,2023-01-01 07:59:59.999,17083642.908,25350,881668,8593922.397,SOLUSDT,sol,PERPETUAL
2023-01-01 08:00:00,9.782,9.786,9.693,9.719,1441280,2023-01-01 08:59:59.999,14031203.77,20476,681950,6639102.36,SOLUSDT,sol,PERPETUAL
2023-01-01 09:00:00,9.718,9.81,9.717,9.8,1225030,2023-01-01 09:59:59.999,11965495.841,16753,658540,6433011.254,SOLUSDT,sol,PERPETUAL
2023-01-01 10:00:00,9.8,9.8,9.761,9.795,704478,2023-01-01 10:59:59.999,6892017.991,11559,339340,3319927.312,SOLUSDT,sol,PERPETUAL
2023-01-01 11:00:00,9.794,9.975,9.794,9.915,3249968,2023-01-01 11:59:59.999,32183673.787,38467,1632559,16164126.159,SOLUSDT,sol,PERPETUAL
2023-01-01 12:00:00,9.916,9.944,9.87,9.929,990377,2023-01-01 12:59:59.999,9808614.48,14915,499231,4945170.175,SOLUSDT,sol,PERPETUAL
2023-01-01 13:00:00,9.93,9.955,9.813,9.842,1616056,2023-01-01 13:59:59.999,15951011.953,20777,752075,7422119.394,SOLUSDT,sol,PERPETUAL
