open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,symbol,symbol_simple,contract_type
2022-12-31 16:00:00,0.3437,0.3438,0.3423,0.3427,21716819.5,2022-12-31 16:59:59.999,7447969.28177,8379,9035971.4,3098735.64455,XRPUSDT,xrp,PERPETUAL
2022-12-31 17:00:00,0.3427,0.3428,0.3404,0.3416,46673635.6,2022-12-31 17:59:59.999,15942144.73598,11894,21138173.8,7219696.83506,XRPUSDT,xrp,PERPETUAL
2022-12-31 18:00:00,0.3416,0.3423,0.3411,0.3413,15824277.0,2022-12-31 18:59:59.999,5408037.64393,6608,7245877.8,2476398.38854,XRPUSDT,xrp,PERPETUAL
2022-12-31 19:00:00,0.3414,0.3432,0.341,0.3426,27261148.8,2022-12-31 19:59:59.999,9329321.80289,8681,14275266.6,4884722.72907,XRPUSDT,xrp,PERPETUAL
2022-12-31 20:00:00,0.3426,0.3435,0.3421,0.3428,16131598.1,2022-12-31 20:59:59.999,5529357.48367,7773,8202962.9,2811633.10588,XRPUSDT,xrp,PERPETUAL
2022-12-31 21:00:00,0.3428,0.3435,0.3416,0.3419,20052614.4,2022-12-31 21:59:59.999,6872720.86532,7052,9546343.6,3272233.69297,XRPUSDT,xrp,PERPETUAL
2022-12-31 22:00:00,0.3419,0.3425,0.3401,0.3407,31496458.5,2022-12-31 22:59:59.999,10749792.21251,10314,13953320.9,4762871.95864,XRPUSDT,xrp,PERPETUAL
2022-12-31 23:00:00,0.3407,0.3408,0.3385,0.3388,69610513.7,2022-12-31 23:59:59.999,23633910.513,19854,34260279.3,11632350.55684,XRPUSDT,xrp,PERPETUAL
2023-01-01 00:00:00,0.3389,0.3391,0.3376,0.3384,47493851.7,2023-01-01 00:59:59.999,16071952.86804,13149,24573398.0,8316548.53578,XRPUSDT,xrp,PERPETUAL
2023-01-01 01:00:00,0.3384,0.3391,0.3382,0.3388,21324281.3,2023-01-01 01:59:59.999,7223128.43327,8083,12571377.1,4258342.6913,XRPUSDT,xrp,PERPETUAL
